title,Year,Certificate,genres,overview,Runtime,Rating,No.of.Ratings,id,original_language,poster
Ninnu Choodalani,2001.0,,Romance            ,    The twin cities sport two sweet shop giants in the form of Siva Reddy (K Vishwanath) and Sahadeva Reddy (Kaikala Satyanarayana). Venu (Jr. NTR) is the teenage grandson of Siva Reddy and ...                See full summary »,0,4.4,235,342799.0,te,https://image.tmdb.org/t/p/w500//z2vbXjebF33uEc2lvC4IITRXfXI.jpg
Premante Idera,1998.0,,"Romance, Drama            ","    City-based Murli along with several male friends attend a marriage ceremony of one of their friends in a small village community. They travel by train, and arrive there awaiting to see what...                See full summary »",0,6.7,235,279472.0,te,https://image.tmdb.org/t/p/w500//binkAHiIyzjAxHlbDxjvAnUotlr.jpg
Devadasu,1953.0,U,"Drama, Family, Musical            ","    Adapted from a popular Bengali novel, Devadasu narrates the story of a rich guy and poor girl separated by class system of India. Parvati is forcefully married off to a middle-aged rich man and Devadasu becomes a drunkard.",191,7.4,235,307448.0,te,
Ninaithale Inikkum,1979.0,U,"Musical, Romance            ",    The movie revolves around a music troop who travel to Singapore for a performance and how their life takes a turn when they meet their love partner.,141,6.9,235,111622.0,te,https://image.tmdb.org/t/p/w500//nGOWnsmpn0LgZuCyBDXdZOIYIiA.jpg
Jayam,2002.0,,"Action, Drama, Romance            ","    Jayam is a 2002 Telugu film produced and directed by Teja on Chitram Movies banner. Starring Nithiin, Sadha, and Gopichand in the lead roles and music composed by R. P. Patnaik.The story is...                See full summary »",152,6.3,234,226829.0,te,https://image.tmdb.org/t/p/w500//yImLtxucFUGCzLoyN3YpmdK8oG0.jpg
Mugguru,2011.0,U,Comedy            ,,0,5.0,233,307773.0,te,
Ganesh,2009.0,UA,Romance            ,,0,5.0,233,23782.0,te,https://image.tmdb.org/t/p/w500//vMx9oXF7DjnFI8yP2Q8Q7oJ9uIx.jpg
Arjun Reddy,2017.0,UA,"Drama, Romance            ",    A thief falls in love and this changes his life.,143,5.0,232,521077.0,te,https://image.tmdb.org/t/p/w500//6NokDZ6xpTl5PjLe0PZg6M2GEdh.jpg
Vangaveeti,2016.0,A,"Action, Biography, Crime            ",    The life story of slain legislator Vangaveeti Mohan Ranga Rao who was assassinated during the NT Rama Rao regime in 1989.,142,6.2,232,432342.0,te,https://image.tmdb.org/t/p/w500//hBUkXahxIOQseFnwJ1wSBy2L1lG.jpg
Chandamama Kathalu,2014.0,,Drama            ,    Intertwining stories of people belonging to a cross section of society.,134,7.2,232,264306.0,te,https://image.tmdb.org/t/p/w500//jLEC5t7p3TWC23SeAFpmThzQyyH.jpg
Chandamama,2007.0,U,"Drama, Romance            ",    Mahalakshmi confesses to her fiance that whilst at school in city she fell in love with a boy who broke her heart. The fiance sets out to find the philandering boy to teach him a lesson and...                See full summary »,0,6.7,232,264306.0,te,https://image.tmdb.org/t/p/w500//jLEC5t7p3TWC23SeAFpmThzQyyH.jpg
Rowdy Fellow,2014.0,,"Action, Romance            ","    An egoistic wealthy man becomes a cop to settle a score, but gets into a feud with a local politician.",150,6.7,231,301668.0,te,https://image.tmdb.org/t/p/w500//pwQ6rpk4eGDU9Vgs8Xb6b2wesYk.jpg
Shirdi Sai,2012.0,U,"Biography, Drama, Musical            ",    Biopic of shirdi sai baba.,145,6.7,230,138078.0,te,https://image.tmdb.org/t/p/w500//h26WNpJ6rNgff5G0SQTwSPwzytF.jpg
Sisindri,1995.0,,"Comedy, Family            ",    Three bumbling criminals find it harder to keep hold of a baby after sucessfully kidnapping the baby for ransom.,151,6.7,230,307954.0,te,https://image.tmdb.org/t/p/w500//ld7FkdpoFnsI7fIRDdphnhOCKsj.jpg
Manasantha Nuvve,2001.0,,"Drama, Family, Romance            ","    A young man and a young girl who love each other, gets separated in their childhood. A lot of things happen later in their lives. But they get united finally.",157,7.1,229,77038.0,te,https://image.tmdb.org/t/p/w500//wE722SEtN66thnGkeFIGOq1MSWB.jpg
Seetharamaiah Gari Manavaralu,1991.0,U,Drama            ,"    Through family conflicts, separated daughter returns back to her father's hometown in an attempt to revive their family relationships.",145,7.7,229,689299.0,te,https://image.tmdb.org/t/p/w500//ookEQTNrA4uwEkkWkeES3Dspxsi.jpg
Bhale Manchi Roju,2015.0,,"Action, Romance            ",    The story revolves around a guy who gets trapped in a situation where he is forced to kidnap a girl in order save his loved ones.,134,6.9,228,413342.0,te,https://image.tmdb.org/t/p/w500//yvV9h9nM0eNg8iYm3bG1RMlkCcq.jpg
Devi Putrudu,2001.0,,"Drama, Fantasy            ",    Archeologist balaram doesn't believe in God and tries to find out the mystery of water torque in sea at ancient Dwaraka. Balaram believes that there is a mystery behind that's a strange ...                See full summary »,161,5.8,227,279467.0,te,https://image.tmdb.org/t/p/w500//rtppuSdfG1Pxe5BbNutNrn9q2iP.jpg
Super Duper,2019.0,UA,"Comedy, Thriller            ","    Two petty criminals end up kidnapping the wrong woman, and end up in a situation where they have to deal with a kingpin of a drug mafia.",118,6.6,226,636621.0,te,https://image.tmdb.org/t/p/w500//tNoFgWIEvLnKvU5c09bOaieVnHi.jpg
Subhash Chandra Bose,2005.0,U,"Action, Drama, History            ","    Amarchandra lives a poor lifestyle in British India along with his mom, dad, Baba Thakur, and a sister. His dad works as a guard with the British Army, which is commandeered locally by ...                See full summary »",0,3.1,225,100749.0,te,
Hyderabad Blues 2,2004.0,A,"Drama, Comedy            ","    Six years after they got married, Ashwini and Varun come across a new challenge which tests the integrity of their marriage.",0,6.2,225,407176.0,te,
Vijetha,1985.0,U,"Drama, Family, Romance            ",    Chinnababu (Chiranjeevi) is an aspiring footballer who has a good heart. But his father does not support a career in football. Chinnababu loves a beautiful girl Priyadarshani (Bhanupriya) ...                See full summary »,107,7.2,225,279310.0,te,
Veera Bhoga Vasantha Rayalu,2018.0,UA,"Crime, Thriller            ","    A cop is pursuing a dangerous man who is behind the disappearance of a flight with innocent passengers, and orphan girls. Will he be nabbed?",132,6.7,224,557252.0,te,https://image.tmdb.org/t/p/w500//8a3fOTdtJgR3lm9l9DKczwcQdqH.jpg
Tik Tik Tik,1981.0,A,"Crime, Mystery, Thriller            ",    A fashion photographer gets embroiled in a series of grisly murders,164,7.0,224,388757.0,te,https://image.tmdb.org/t/p/w500//8Pp5e0rRyDfBjAmi3qzxCByG3Vh.jpg
Detective Naarada,1993.0,U,"Comedy, Drama, Thriller            ",,0,5.9,222,308010.0,te,https://image.tmdb.org/t/p/w500//s1ds739DG2WU5yrbX30HhJ58Tc3.jpg
Kalyana Vaibhogame,2016.0,U,"Comedy, Drama            ","    Shourya (Naga Shourya) is a gaming software professional in Hyderabad. He is just 23 years old but his parents want him to get married before his aging grandmother dies. He wants freedom, ...                See full summary »",158,6.8,221,387842.0,te,https://image.tmdb.org/t/p/w500//veS9sgOV6NrgFjqOJOy2x0pcR8E.jpg
Heza,2019.0,UA,Drama            ,    A musician and his wife are haunted by an evil eye hex witch who tries to find her source for mortal life through them. The protagonist slums into unrest to escape from the demonic witch's grave peal.,111,7.4,220,1248012.0,te,https://image.tmdb.org/t/p/w500//9wufDLlyzzl6VfxAvjs81Jno6B1.jpg
Narthanasala,1963.0,U,"Drama, Musical            ",    This film deals with the Virata Parvam (Book of Virata) of the epic Mahabharatam dictated by Vyasa Maharshi.,175,7.6,219,402068.0,te,https://image.tmdb.org/t/p/w500//ckRg9ia2hxsTXpsNbMxYvj1J4Yg.jpg
Nenunnanu,2004.0,,Action            ,,0,5.3,218,265973.0,te,
Ganesh,1998.0,,"Action, Drama, Thriller            ","    Ganesh (Venkatesh) loses his father, sister and his friend who is also a journalist, due to the corrupt politicians. He takes revenge on the corrupt system.",0,7.2,217,23782.0,te,https://image.tmdb.org/t/p/w500//vMx9oXF7DjnFI8yP2Q8Q7oJ9uIx.jpg
Veedevadandi Babu,1997.0,,Comedy            ,,138,5.6,217,404052.0,te,
Sirivennela,1986.0,U,"Family, Musical            ","    Sirivennela is a 1986 Indian Telugu film, directed by K. Vishwanath and Produced by Ch. Ramakrishna Reddy, N. Bhaskara Reddy and Ujjuri Chinaveerraju. The film stars Suhasini, Sarvadaman ...                See full summary »",181,7.5,217,82770.0,te,https://image.tmdb.org/t/p/w500//1ZQy6NduQxy9QP4BwC0lEO7NRhn.jpg
Routine Love Story,2012.0,,"Comedy, Romance            ",    Sanju (Sundeep Kishan) is a college going student who falls for a girl Tanvi (Regina Cassandra) at first sight. They get along over a period of time but unsure of the advancing in their ...                See full summary »,124,6.0,216,166460.0,te,https://image.tmdb.org/t/p/w500//8LJBL59O4UIjZpTmOnWlk8cEfmH.jpg
Intlo Illalu Vantaintlo Priyuralu,1996.0,,"Comedy, Family            ","    Sriram (Venkatesh) and Seeta (Soundarya) have no children even after three years of marriage life. Sriram comes to know through the doctor that his wife cannot bear children, he is not ...                See full summary »",0,6.9,216,100763.0,te,
Guna 369,2019.0,UA,"Action, Drama            ",    Guna (Karthikeya) is a happy-go-lucky guy who believes the solution to solving issues is not through violence but through compromise. But what happens when he's forced to the extremes by someone close to him?,146,6.3,216,319832.0,te,https://image.tmdb.org/t/p/w500//1LuEpIbLDbKOJT1CpfhhXTnIK8T.jpg
Anandam,2001.0,,Romance            ,"    Kiran (Akash) and Aishwarya (Rekha) are neighbors for 20 years in Hyderabad. They study in the same college and immensely hate each other. Rekha's parents shift to Ooty. In Ooty house, ...                See full summary »",165,7.1,216,80834.0,te,https://image.tmdb.org/t/p/w500//xQLvOxa0BXiq38JbM0VhJ0BvG8T.jpg
Masala,2013.0,,"Action, Comedy            ",    Balaram (Venkatesh) is a good hearted strongman of the village of Bheemarajapuram. He treats everyone with fairness and takes care of their needs. But there is one thing that Balaram cannot...                See full summary »,160,5.3,215,332983.0,te,
Entha Manchivaadavuraa,2020.0,U,"Action, Drama            ","    Balu loses both of his parents in his childhood and he grows up as an orphan. Because of this, he starts an organization named ""All Is Well"" to supply emotions to the needy.",152,5.5,215,633146.0,te,https://image.tmdb.org/t/p/w500//j33YnqmLItsqo4wUw0B6qMFmnwy.jpg
Ruler,2019.0,,"Action, Drama            ","    Bhumika and Vedhika are trying hard to remind Balayya of his past. In the process, they take him to the villain's residence and asks to fight with him. Now, time for yet another fight",130,3.6,214,34295.0,te,https://image.tmdb.org/t/p/w500//5MbXmcxOJ8wrXZ4kmikiI72Ipbe.jpg
Om Namo Venkatesaya,2017.0,U,"Biography, Fantasy            ",    The life of Hathiram Baba is chronicled in this devotional biopic.,140,7.2,213,443640.0,te,https://image.tmdb.org/t/p/w500//jckAyodolWemdEk3alBDYe3oU8k.jpg
Gundello Godari,2013.0,,"Adventure, Drama, Romance            ","    Gundello Godari is about a newlywed couple who are forced to battle it out against a devastating flood of the River Godavari. They lose all hope of survival, so they decide to narrate the ...                See full summary »",108,4.8,213,174877.0,te,https://image.tmdb.org/t/p/w500//ezVcI9wSP7QA1jhqS7atLkFZJcT.jpg
Rowdy Gari Pellam,1991.0,,Drama            ,    A criminal decides to redeem himself after marriage but his former boss resents this.,0,3.8,213,82611.0,te,https://image.tmdb.org/t/p/w500//6UtUpGj5OfTq38r6G2mssPaRSTJ.jpg
Paper Boy,2018.0,,Romance            ,    The film is a rom-com which explores the life of a young paperboy.,125,6.5,212,541267.0,te,https://image.tmdb.org/t/p/w500//ouFbdNTRNbm1qnpPjyIRbQw52zL.jpg
Mister,2017.0,UA,Drama            ,"    Chai lives in Spain with his family where he meets and falls in love with Meera. Chai's fate takes a turn when he travels to India and meets Chandramukhi, who falls for him.",160,3.9,212,1372693.0,te,
Raju Gari Gadhi,2015.0,UA,Horror            ,    There is a haunted house in Nandigama. Dead bodies of 34 people resurface in house's well over a period of time. A TV channel plans to host a reality show in that haunted house.,135,5.0,211,640559.0,te,https://image.tmdb.org/t/p/w500//iH89vW1qgR9x7BHlE55h1bij7CB.jpg
Thodarum,1999.0,,"Drama, Romance            ","    Family and personal life is messed up for a cool dude, when suddenly his possessive wife doubts/links up a relationship with a girl from his office.",149,5.4,210,279890.0,te,https://image.tmdb.org/t/p/w500//p6mjzjE0OqVuH0w7cPq1TEpekz0.jpg
Allari Mogudu,1992.0,U,"Drama, Comedy            ",,104,5.7,209,665049.0,te,
Nirnayam,1991.0,U,"Action, Comedy, Drama            ",,170,7.0,207,198359.0,te,https://image.tmdb.org/t/p/w500//QaLLltKmq8v95cnG6lEaHEGwQu.jpg
Dharma Bhai,2018.0,UA,"Action, Drama            ","    Teja, a software engineer's plans to take down corruption are inspired by real-life incidents that took place in 2014 at Kukapally, Hyderabad.",130,3.0,205,100778.0,te,
Software Sudheer,2019.0,UA,Drama            ,"    Chandu and Swathi are Software engineers. Chandu is an average guy who never misses an opportunity to impress Swathi. Once Swathi recognizes Chandu's honesty and innocence, the affair ...                See full summary »",125,6.0,205,660671.0,te,https://image.tmdb.org/t/p/w500//i0XNF33mnWAdHgJSlqqNl6SwEaT.jpg
Bhageeratha,2005.0,,"Action, Drama            ",    Krishna Lanka is an island in Godavari districts. The only way of commuting to that island is by boats. Lots of people die due to bad whether conditions while they travel. Krishna Lanka's ...                See full summary »,0,5.6,205,226197.0,te,https://image.tmdb.org/t/p/w500//w1O12hJRDahY2S63yhnrmL1JDcP.jpg
Azaad,2000.0,,"Action, Drama            ","    Anjali is a Journalist, who lives a middle-class lifestyle along with her widower dad in Hyderabad, Andhra Pradesh. One day while traveling by State Transport bus along with her dad and her...                See full summary »",0,6.2,205,115265.0,te,https://image.tmdb.org/t/p/w500//kIVEh2SlMqbBbDdFl55e7VTjfH1.jpg
Minugurulu,2012.0,,"Drama, Family            ","    Raju a 13 year old child passionate about films who always wanted to be a filmmaker become blind in an accident. Drunkard and irresponsible father puts Raju in a blind orphanage,claiming ...                See full summary »",109,7.5,204,253560.0,te,https://image.tmdb.org/t/p/w500//eLbxYdL4cIb2pgKf0ku7l3f9Ce0.jpg
Raaja Paarvai,1981.0,Unrated,"Drama, Romance            ",    The story is about a blind violinist who falls in love with a rich girl and ends up facing many difficulties.,144,7.2,204,100783.0,te,
Vijayendra Varama,2004.0,A,"Action, Thriller            ","    A man(Balakrishna) living in a village with a wife(Laya) and a child finds out that he is good at combative skills. After learning that he has amnesia, he goes in his search to find his identity and his past.",0,2.0,203,100784.0,te,https://image.tmdb.org/t/p/w500//kf0WY4hsRISq8ZW9Fh6tuwZbgP3.jpg
Mogudu,2011.0,UA,Drama            ,"    A couple truly in love get married. On the day of marriage just after the ritual due to a stupid reason an argument sparks, egoes crash which turns into violence. The couple separates. How they finally unite is rest of the movie.",159,3.8,202,80947.0,te,
Jayam Manadera,2000.0,,Drama            ,    Abhiram is a fun loving guy staying with his parents in London. 8 people won the contest of an opportunity to tour Europe. Uma is one of them. Abhiram likes Uma and acts as a tour companion for them during their stay in Europe.,151,6.3,202,117417.0,te,https://image.tmdb.org/t/p/w500//ePvq9ww2f6UzUg9S5ErFUJZu2Mn.jpg
Oxygen,2017.0,UA,"Action, Thriller            ","    Krishna arrives in India to get married to Shruti, but when Krishna saves her father from an attack, it is revealed he has a hidden agenda.",156,5.5,201,18561.0,te,https://image.tmdb.org/t/p/w500//9qejeCJ2lUevfwRdwdGADuoFX0X.jpg
Athaku Yamudu Ammayiki Mogudu,1989.0,U,"Action, Comedy, Drama            ","    After a poor man marries a rich woman, he has to contend with his rich, arrogant mother-in-law.",140,7.0,201,100788.0,te,https://image.tmdb.org/t/p/w500//7akJh2BAAdInXc4tGjZO8CXw5t1.jpg
Sindhooram,1997.0,,"Action, Drama, Romance            ",    A young man in a village who wants to become a police officer ends up becoming a terrorist due to being framed.,144,7.4,199,82777.0,te,https://image.tmdb.org/t/p/w500//mFyVuQI9IKQ6jAxJDPT9ixLXlju.jpg
Bezawada,2011.0,A,"Action, Crime            ","    A man vows to avenge the death of his brothers, after they killed by a goon, who is also an aspiring politician. How he avenges forms the rest of the story of this violent saga set in a land of bloodshed and wars.",105,3.3,198,100790.0,te,
Satyam,2003.0,,Romance            ,"    Despite his best intentions, Satyam, an aspiring songwriter, is misunderstood by his family and his love interest, Ankita.",144,6.7,198,333876.0,te,https://image.tmdb.org/t/p/w500//p7DwEu3biN26rV3eaj9w8oaRY95.jpg
Avunu Valliddaru Ishtapaddaru,2002.0,U,"Comedy, Romance, Drama            ",,150,6.6,198,80923.0,te,https://image.tmdb.org/t/p/w500//akfLqDNtNA29YFUxkXsgBWwYFVQ.jpg
Baladoor,2008.0,UA,"Action, Comedy            ","    Chanti respects his uncle Rama Krishna more than his father Purshrotam. Rama Krishna has enmity with Umapathi because of something that happened 20 years ago. Later, Chanti is kicked out of...                See full summary »",0,4.0,197,115267.0,te,https://image.tmdb.org/t/p/w500//7bIuPjo1QdBWtSaiq7YvHXPP0NR.jpg
2 Hours Love,2019.0,UA,Romance            ,    Story of a couple in a contractual relationship where they meet only for 2 hours a day and behave like strangers during other times.,150,6.7,197,631934.0,te,https://image.tmdb.org/t/p/w500//fjACJQSoVx8LEpADhOW6efnhjoU.jpg
Sakalakala Vallavan,1982.0,U,"Action, Comedy, Romance            ","    A young agriculturist Velu (Kamal Hassan) goes to extremes to attain revenge against his devious landlord and her family. He is an upright young man, but when his family gets cheated out of...                See full summary »",138,6.7,197,327915.0,te,https://image.tmdb.org/t/p/w500//fSTe9o0j20HZ5agRXxLBlTJtmX3.jpg
MLA,2018.0,UA,"Action, Drama            ",    An intelligent youngster is faced with a situation to win in the state legislative assembly elections in order to win the approval of his father-in-law.,130,5.2,194,1077437.0,te,
Appula Appa Rao,1991.0,U,Comedy            ,,139,7.3,193,180736.0,te,https://image.tmdb.org/t/p/w500//4onQu9UVp5q5mfzfnxiZ7v0jO06.jpg
Radha,2017.0,,"Action, Comedy, Romance            ",    A romantic drama starring Sharwanand and Lavanya Tripathi.,126,5.4,192,1150093.0,te,
Ladies Tailor,1985.0,,Comedy            ,"    In the Godavari delta, a tailor specializing in bodices for women begins a quest for the ideal bride, guided by a soothsayer's prediction that the woman will have a birthmark on her right thigh.",0,7.1,192,461891.0,te,https://image.tmdb.org/t/p/w500//z3KstwmCceLw0qhlnCjXoAx7OEN.jpg
Abhilasha,,A,Thriller            ,"    A young lawyer strives to remove the death sentence from the judicial system. With support from his mentor, he devises an ingenious plan. When the plan goes terribly wrong halfway through, he has to race against time to save his own life.",145,7.3,192,278423.0,te,https://image.tmdb.org/t/p/w500//Amh1LLopxYDmadsUujateSBijEL.jpg
Srimannarayana,2012.0,,Drama            ,"    A journalist fights crime, while getting revenge for his father's death.",135,4.1,190,634077.0,te,https://image.tmdb.org/t/p/w500//2RbZNL7JRq5GhIAPrcJlm0LgsgX.jpg
Katha Screenplay Darsakatvam: Appalaraju,2011.0,,Comedy            ,    An aspiring director gets his chance to direct his dream project only to get his project changed by the film crew from an emotional drama to a comedy one.,0,5.0,190,82901.0,te,https://image.tmdb.org/t/p/w500//vI4YEPMHKGuT8egiqFj5O01Jhyx.jpg
Chandralekha,1998.0,U,"Comedy, Romance            ",    Seetha Rama Rao leads a tumultuous financial life until his world is turned upside down after pulling the beautiful Chandra from a car wreck. When Chandra's parents show up to the hospital ...                See full summary »,151,6.7,190,78643.0,te,https://image.tmdb.org/t/p/w500//r4bPITC7T0WdkjD5um6fWFGGDZY.jpg
Maharadhi,2007.0,,Action            ,    A common man and his Handicap Sister struggles in the modern world. How they are gonna fight them back is all story about.,149,2.1,189,266496.0,te,https://image.tmdb.org/t/p/w500//jvWk0l1mPPu3sVGocIUQSQN9RnM.jpg
Speedunnodu,2016.0,UA,"Comedy, Romance            ",    Speedunnodu is a remake of the Tamil hit film - Sundarapandian. The film is a romantic comedy about a young man and the girl he is trying to woo for his friend.,120,4.6,188,449733.0,te,https://image.tmdb.org/t/p/w500//wNDO2unLdUVQPeZo6BYARnEqX1n.jpg
Subhalekha,1982.0,U,"Family, Drama, Musical            ",,139,7.3,188,267687.0,te,https://image.tmdb.org/t/p/w500//5MnPodIYT68QY7DGYoQJWV33TcH.jpg
Asura,2015.0,,"Action, Drama            ",    The story deals with the ego between a jailor(cop) and the prisoner who is subjected to death.,120,6.5,187,466403.0,te,https://image.tmdb.org/t/p/w500//hAIdDcUceET33bLxAtYwKKff0U0.jpg
Palnati Brahmanayudu,2003.0,,"Action, Drama            ",    The Saga of a village where the ancient religious commandments are believed. A man(Balakrishna) fulfills his destiny to bring justice to his village.,180,2.5,187,280328.0,te,https://image.tmdb.org/t/p/w500//ywxo9CV1x8fDnJOsL43BaQeIu5u.jpg
@ Nartanasala,2018.0,Not Rated,Drama            ,"    Naga Shourya is a young man who always wants women to be independent in life. In this process, he solves a girl called Manasa's problems and falls in love during the course of time. Just ...                See full summary »",139,3.7,185,549541.0,te,https://image.tmdb.org/t/p/w500//o4d0gykySsuS4E9qPxJwngc4cVk.jpg
Nuvvu Nenu,2001.0,,Romance            ,,135,6.7,185,307924.0,te,https://image.tmdb.org/t/p/w500//xoq7fb2cAxicALz7qqHE1IBhBBm.jpg
Rowdy Mogudu,1993.0,,Drama            ,,129,4.5,183,100811.0,te,
Vijetha,2018.0,U,Drama            ,    Srinivasa Rao (Murli Sharma) does his best to give his children everything they seek and fulfil even the smallest of their desires. His son Ram (Kalyaan Dhev) grows up oblivious to all the ...                See full summary »,141,6.8,182,279310.0,te,
Ravoyi Chandamama,1999.0,U,"Drama, Romance            ",,0,4.8,179,214022.0,te,https://image.tmdb.org/t/p/w500//vZmAozIlJRQzlxLwPJdhP47p6Et.jpg
